system,standard_no,name,geometry_family,elevation_family,route_constraint,target_family,generator_tags
Miniaturgolf,13,Doppelkeile,straight,ramps,capture,bowl,"ramp;capture-target;one-shot"
Miniaturgolf,14,Passagen,straight,waves,channels,cup,"parallel-lanes;route-choice;rhythm"
Miniaturgolf,15,Mittelhuegel,straight,hill,open,cup,"central-hill;speed-control;target-circle"
Miniaturgolf,16,Vulkan,target_centric,slope,capture,area,"funnel;capture-target;precision"
Miniaturgolf,17,V-Hindernis,straight,flat,capture,area,"v-shape;bank-shot;capture-target"
Miniaturgolf,18,Winkel,angle,flat,open,cup,"right-angle;bank-shot;target-circle"
Miniaturgolf,19,Blitz,zigzag,flat,open,cup,"zigzag;multiple-banks;precision"
Miniaturgolf,20,"Gerade Bahn ohne Hindernisse",straight,flat,open,cup,"straight;pure-aim;target-circle-or-arrow"
Miniaturgolf,21,"Schraeger Kreis ohne Hindernisse",target_centric,slope,open,cup,"asymmetric-target;speed-control"
Miniaturgolf,22,Plateau,straight,ramp,capture,area,"ramp;elevated-target;one-shot"
Miniaturgolf,23,Auflaufkeil,straight,ramp,gate,cup,"ramp;window;landing-zone"
Miniaturgolf,24,"Steilschraege ohne Hindernisse",straight,steep_slope,open,cup,"steep-slope;speed-control;target-circle"
Miniaturgolf,25,"Schraeger Kreis mit V-Hindernis",target_centric,slope,capture,area,"asymmetric-target;v-shape;capture-target"
Miniaturgolf,26,"Gerade Bahn mit Rampe",straight,ramp,open,cup,"ramp;landing-zone;target-circle"
Miniaturgolf,27,Raute,straight,flat,choice,cup,"diamond;split-route;bank-shot"
Miniaturgolf,28,"Gerade Bahn mit Zielhuegel",straight,hill,capture,cup,"target-hill;speed-control;one-shot"
Miniaturgolf,29,Halbwinkel,angle,flat,open,cup,"obtuse-angle;bank-shot;target-circle"
Miniaturgolf,30,"Celler Staebe",straight,flat,slalom,cup,"slalom;paired-gates;precision"
Filzgolf,1,Einfachtor,straight,flat_or_slope,gate,cup,"single-gate;precision;long-lane"
Filzgolf,2,Doppeltor,straight,flat_or_slope,gates,cup,"two-gates;alignment;long-lane"
Filzgolf,3,Kaesten,straight,flat,slalom,cup,"offset-boxes;slalom;long-lane"
Filzgolf,4,"Deutscher Absatz",straight,slope,open,cup,"target-step;speed-control;polygon-target"
Filzgolf,5,"Optische Taeuschung",straight,flat,gates,cup,"shrinking-gates;depth-cue;precision"
Filzgolf,6,"Steigung mit Mittelloch",straight,slope,capture,cup,"target-slope;capture-target;one-shot"
Filzgolf,7,Briefkasten,straight,slope,capture,box,"ramp;slot;capture-target"
Filzgolf,8,Gentleman,target_centric,slope,capture,area,"curved-capture;target-slope;one-shot"
Filzgolf,9,Oerkelljunga,straight,slope,tunnel,cup,"bridge;tunnel;target-slope"
Filzgolf,10,Winkel,angle,flat,open,cup,"right-angle;bank-shot;polygon-target"
Filzgolf,11,"Besonderer Winkel",angle,flat,choice,cup,"corner;detour;route-choice"
Filzgolf,12,Mittelhuegel,straight,hill,open,cup,"central-hill;speed-control;long-lane"
Filzgolf,13,Seitentore,straight,flat_or_slope,choice,cup,"side-gates;route-choice;precision"
Filzgolf,14,Mulde,straight,slope,capture,bowl,"ramp;capture-target;one-shot"
Filzgolf,15,Fischgraete,straight,flat,slalom,cup,"herringbone;slalom;precision"
Filzgolf,16,Rinne,straight,flat,channel,cup,"channel;forced-line;speed-control"
Filzgolf,17,"Steigung mit Seitenloch",straight,slope,capture,cup,"target-slope;side-target;precision"
Filzgolf,18,Bruecke,straight,hill,gate,cup,"bridge;roofed-gate;speed-control"
Filzgolf,19,"Huegel mit Tor",straight,hill,gate,cup,"hill;gate;speed-window"
Filzgolf,20,Blitz,zigzag,flat,open,cup,"zigzag;multiple-banks;long-lane"
Filzgolf,21,Graben,straight,ramp,jump,cup,"gap;forced-air;gate"
Filzgolf,22,"Schraeger Huegel mit Tor",angle,slope,gate,cup,"angled-hill;gate;bank-shot"
Filzgolf,23,Ass-Box,straight,slope,capture,box,"ramp;capture-target;one-shot"
Filzgolf,24,"Schwedischer Absatz",straight,step,open,cup,"step;speed-control;polygon-target"
Filzgolf,25,Kreuz,cross,flat,gate,cup,"crossing;central-gate;multiple-lines"
Filzgolf,26,"Moellberg-Mulde",straight,slope,capture,bowl,"ramp;capture-target;one-shot"
Filzgolf,27,"Steigung mit Vertikalloch",straight,slope,gate,cup,"vertical-slot;target-slope;precision"
Filzgolf,28,Hufeisen,target_centric,slope,capture,cup,"horseshoe;target-slope;precision"
Filzgolf,29,Zwillingstore,straight,flat,gates,cup,"paired-gates;alignment;long-lane"
Filzgolf,30,"Stationaere Waage",straight,slope,channel,cup,"balance-profile;speed-control;channel"
Filzgolf,31,Mittelzielfeld,straight,flat,open,cup,"central-target-area;approach-and-exit;speed-control"
Filzgolf,32,Passage,straight,flat,gate,cup,"single-passage;precision;long-lane"
